threshold,acc,balanced_acc,f1,precision,recall,specificity,youden_j,tp,tn,fp,fn
0.8,0.8604651162790697,0.8598214285714285,0.8235294117647058,0.7924528301886793,0.8571428571428571,0.8625,0.719642857142857,42.0,69.0,11.0,7.0
0.81,0.8682170542635659,0.8660714285714286,0.8316831683168318,0.8076923076923077,0.8571428571428571,0.875,0.7321428571428572,42.0,70.0,10.0,7.0
0.82,0.8682170542635659,0.8660714285714286,0.8316831683168318,0.8076923076923077,0.8571428571428571,0.875,0.7321428571428572,42.0,70.0,10.0,7.0
0.83,0.8682170542635659,0.8660714285714286,0.8316831683168318,0.8076923076923077,0.8571428571428571,0.875,0.7321428571428572,42.0,70.0,10.0,7.0
0.84,0.8682170542635659,0.8621173469387755,0.8282828282828283,0.82,0.8367346938775511,0.8875,0.724234693877551,41.0,71.0,9.0,8.0
0.85,0.875968992248062,0.8644132653061225,0.8333333333333334,0.851063829787234,0.8163265306122449,0.9125,0.728826530612245,40.0,73.0,7.0,9.0
0.86,0.8837209302325582,0.8706632653061225,0.8421052631578948,0.8695652173913043,0.8163265306122449,0.925,0.741326530612245,40.0,74.0,6.0,9.0
0.87,0.8837209302325582,0.8706632653061225,0.8421052631578948,0.8695652173913043,0.8163265306122449,0.925,0.741326530612245,40.0,74.0,6.0,9.0
0.88,0.8914728682170543,0.8769132653061225,0.851063829787234,0.8888888888888888,0.8163265306122449,0.9375,0.7538265306122449,40.0,75.0,5.0,9.0
0.89,0.8992248062015504,0.8792091836734695,0.8571428571428572,0.9285714285714286,0.7959183673469388,0.9625,0.7584183673469389,39.0,77.0,3.0,10.0
0.9,0.9147286821705426,0.8917091836734694,0.8764044943820225,0.975,0.7959183673469388,0.9875,0.7834183673469388,39.0,79.0,1.0,10.0
0.91,0.9224806201550387,0.8979591836734694,0.8863636363636364,1.0,0.7959183673469388,1.0,0.7959183673469388,39.0,80.0,0.0,10.0
0.92,0.9224806201550387,0.8979591836734694,0.8863636363636364,1.0,0.7959183673469388,1.0,0.7959183673469388,39.0,80.0,0.0,10.0
0.93,0.9147286821705426,0.8877551020408163,0.8735632183908045,1.0,0.7755102040816326,1.0,0.7755102040816326,38.0,80.0,0.0,11.0
0.94,0.9069767441860465,0.8775510204081632,0.8604651162790697,1.0,0.7551020408163265,1.0,0.7551020408163265,37.0,80.0,0.0,12.0
0.95,0.9069767441860465,0.8775510204081632,0.8604651162790697,1.0,0.7551020408163265,1.0,0.7551020408163265,37.0,80.0,0.0,12.0
0.96,0.8992248062015504,0.8673469387755102,0.8470588235294119,1.0,0.7346938775510204,1.0,0.7346938775510203,36.0,80.0,0.0,13.0
0.97,0.8914728682170543,0.8571428571428572,0.8333333333333333,1.0,0.7142857142857143,1.0,0.7142857142857144,35.0,80.0,0.0,14.0
0.98,0.8837209302325582,0.846938775510204,0.819277108433735,1.0,0.6938775510204082,1.0,0.693877551020408,34.0,80.0,0.0,15.0
0.99,0.8372093023255814,0.7857142857142857,0.7272727272727273,1.0,0.5714285714285714,1.0,0.5714285714285714,28.0,80.0,0.0,21.0
